"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP","AVG. DIFF ","% OVER "
"649",14,"Stone Smartt",PHI,"TE113","10","-","-","4 out of 5 stars","-","0.0","7% (1/13)"
"650",14,"Devin Culp",TB,"TE114","10","-","-","2 out of 5 stars","-","-","-"
"651",14,"Connor Heyward",LV,"TE115","13","-","-","3 out of 5 stars","-","-","-"
"652",14,"Andrew Beck",NYJ,"TE116","13","-","-","4 out of 5 stars","-","-","-"
"653",14,"Grant Calcaterra",PHI,"TE117","10","-","-","4 out of 5 stars","-","-0.9","28% (4/14)"
"654",14,"Jack Stoll",CLE,"TE118","11","-","-","3 out of 5 stars","-","-","-"
"655",14,"Tanner Conner",NYG,"TE119","8","-","-","3 out of 5 stars","-","-","-"
"656",14,"Joel Wilson",TEN,"TE120","9","-","-","3 out of 5 stars","-","-","-"
"657",14,"Johnny Mundt",PHI,"TE121","10","-","-","4 out of 5 stars","-","-","-"
"658",14,"John Michael Gyllenborg",KC,"TE122","5","-","-","4 out of 5 stars","-","-","-"
"659",14,"Anthony Firkser",DET,"TE123","6","-","-","3 out of 5 stars","-","-0.7","16% (1/6)"
"660",14,"Drew Ogletree",IND,"TE124","13","-","-","3 out of 5 stars","-","-","-"
"661",14,"Teagan Quitoriano",ARI,"TE125","14","-","-","2 out of 5 stars","-","-","-"
"662",14,"Ben Yurosek",MIN,"TE126","6","-","-","4 out of 5 stars","-","-","-"
"663",14,"Chris Manhertz",NYG,"TE127","8","-","-","3 out of 5 stars","-","-","-"
"664",14,"Brevin Jordan",HOU,"TE128","8","-","-","4 out of 5 stars","-","-","-"
"665",14,"Lucas Krull",DEN,"TE129","10","-","-","4 out of 5 stars","-","-","-"
"666",14,"Carsen Ryan",CLE,"TE130","11","-","-","3 out of 5 stars","-","-","-"
"667",14,"Blake Whiteheart",CLE,"TE131","11","-","-","3 out of 5 stars","-","-","-"
"668",14,"Xavier Weaver",ARI,"WR222","14","-","-","2 out of 5 stars","-","-1.0","25% (1/4)"
"669",14,"Gavin Bartholomew",MIN,"TE132","6","-","-","4 out of 5 stars","-","-","-"
"670",14,"Sean McKeon",IND,"TE133","13","-","-","3 out of 5 stars","-","-","-"
"671",14,"Ko Kieft",TB,"TE134","10","-","-","2 out of 5 stars","-","-","-"
"672",14,"Jake Briningstool",KC,"TE135","5","-","-","4 out of 5 stars","-","-","-"
"673",14,"Cole Turner",MIA,"TE136","6","-","-","5 out of 5 stars","-","-","-"
"674",14,"CJ Dippre",NE,"TE137","11","-","-","4 out of 5 stars","-","-","-"
"675",14,"James Mitchell",CAR,"TE138","5","-","-","2 out of 5 stars","-","-","-"
"676",14,"Brayden Willis",SF,"TE139","8","-","-","3 out of 5 stars","-","-","-"
"677",14,"Ian Thomas",LV,"TE140","13","-","-","3 out of 5 stars","-","-","-"
"678",14,"Hunter Long",JAC,"TE141","7","-","-","3 out of 5 stars","-","+0.6","33% (3/9)"
"679",15,"Jelani Woods",NYJ,"TE142","13","-","-","4 out of 5 stars","-","-","-"
"680",15,"Quintin Morris",JAC,"TE143","7","-","-","3 out of 5 stars","-","-","-"
"681",15,"Kenny Yeboah",ARI,"TE144","14","-","-","2 out of 5 stars","-","-","-"
"682",15,"Luke Lachey",FA,"TE145","-","-","-","-","-","-","-"
"683",15,"Terion Stewart",KC,"RB196","5","-","-","3 out of 5 stars","-","-","-"
"684",15,"Josh Cameron",JAC,"WR223","7","-","-","4 out of 5 stars","-","-","-"
"685",15,"Emmanuel Henderson Jr.",SEA,"WR224","11","-","-","3 out of 5 stars","-","-","-"
"686",15,"Dante Miller",NYG,"RB197","8","-","-","4 out of 5 stars","-","-","-"
"687",15,"Jamari Thrash",CLE,"WR225","11","-","-","3 out of 5 stars","-","-","-"
"688",15,"Kaden Wetjen",PIT,"WR226","9","-","-","3 out of 5 stars","-","-","-"
"689",15,"Julius Chestnut",TEN,"RB198","9","-","-","3 out of 5 stars","-","-0.6","18% (3/16)"
"690",15,"Mason Tipton",NO,"WR227","8","-","-","3 out of 5 stars","-","-1.0","33% (3/9)"
"691",15,"Carson Steele",PHI,"RB199","10","-","-","4 out of 5 stars","-","-","-"
"692",15,"Josh Williams",TB,"RB200","10","-","-","2 out of 5 stars","-","-","-"
"693",15,"JuJu Smith-Schuster",NYG,"WR228","8","-","-","4 out of 5 stars","-","-0.8","37% (6/16)"
"694",15,"Braxton Berrios",NYG,"WR229","8","-","-","4 out of 5 stars","-","-","-"
"695",15,"Eric Gray",NYG,"RB201","8","-","-","4 out of 5 stars","-","-","-"
"696",15,"Ulysses Bentley IV",IND,"RB202","13","-","-","4 out of 5 stars","-","-","-"
"697",15,"Amar Johnson",LAC,"RB203","7","-","-","3 out of 5 stars","-","-","-"
"698",15,"Kameron Johnson",TB,"WR230","10","-","-","4 out of 5 stars","-","-","-"
"699",15,"Justin Watson",HOU,"WR231","8","-","-","3 out of 5 stars","-","-","-"
"700",15,"Kentrel Bullock",CIN,"RB204","6","-","-","2 out of 5 stars","-","-","-"
"701",15,"Anthony Smith",DAL,"WR232","14","-","-","2 out of 5 stars","-","-","-"
"702",15,"Avery Williams",FA,"RB205","-","-","-","-","-","-","-"
"703",15,"Kendall Milton",CIN,"RB206","6","-","-","2 out of 5 stars","-","-","-"
"704",15,"Carlos Washington Jr.",MIA,"RB207","6","-","-","3 out of 5 stars","-","-","-"
"705",15,"Jonathan Mingo",DAL,"WR233","14","-","-","2 out of 5 stars","-","-0.6","25% (1/4)"
"706",15,"Ricky White III",SEA,"WR234","11","-","-","3 out of 5 stars","-","-","-"
"707",15,"Dominic Richardson",DAL,"RB208","14","-","-","4 out of 5 stars","-","-","-"
"708",15,"Tyler Johnson",DAL,"WR235","14","-","-","2 out of 5 stars","-","-0.6","25% (3/12)"
"709",15,"Israel Abanikanda",DAL,"RB209","14","-","-","4 out of 5 stars","-","-","-"
"710",15,"Isaiah Hodgins",NYG,"WR236","8","-","-","4 out of 5 stars","-","-1.5","33% (2/6)"
"711",15,"Ben Skowronek",PIT,"WR237","9","-","-","3 out of 5 stars","-","-","-"
"712",15,"Kene Nwangwu",NYJ,"RB210","13","-","-","3 out of 5 stars","-","-","-"
"713",15,"Coleman Bennett",CHI,"RB211","10","-","-","2 out of 5 stars","-","-","-"
"714",15,"Lincoln Pare",FA,"RB212","-","-","-","-","-","-","-"
"715",15,"Gary Brightwell",CIN,"RB213","6","-","-","2 out of 5 stars","-","-","-"
"716",15,"Nikko Remigio",KC,"WR238","5","-","-","2 out of 5 stars","-","-","-"
"717",15,"JaMycal Hasty",FA,"RB214","-","-","-","-","-","-","-"
"718",15,"TJ Harden",SEA,"RB215","11","-","-","4 out of 5 stars","-","-","-"
"719",15,"Lewis Bond",HOU,"WR239","8","-","-","3 out of 5 stars","-","-","-"
"720",15,"Lan Larison",NE,"RB216","11","-","-","2 out of 5 stars","-","-","-"
"721",15,"Kejon Owens",FA,"RB217","-","-","-","-","-","-","-"
"722",15,"Darius Cooper",PHI,"WR240","10","-","-","4 out of 5 stars","-","-","-"
"723",15,"Anthony Hankerson",MIA,"RB218","6","-","-","3 out of 5 stars","-","-","-"
"724",15,"Raheem Blackshear",DET,"RB219","6","-","-","5 out of 5 stars","-","-","-"
"725",15,"David Moore",CAR,"WR241","5","-","-","2 out of 5 stars","-","-","-"
"726",15,"CJ Williams",JAC,"WR242","7","-","-","4 out of 5 stars","-","-","-"
"727",15,"Chris Collier",LV,"RB220","13","-","-","2 out of 5 stars","-","-","-"
"728",15,"Bryce Oliver",TEN,"WR243","9","-","-","3 out of 5 stars","-","-","-"
"729",15,"Jalen Brooks",ARI,"WR244","14","-","-","2 out of 5 stars","-","-","-"
"730",15,"Damon Bankston",NYG,"RB221","8","-","-","4 out of 5 stars","-","-","-"
"731",15,"Dylan Drummond",ATL,"WR245","11","-","-","3 out of 5 stars","-","-","-"
"732",15,"Cody Schrader",DEN,"RB222","10","-","-","2 out of 5 stars","-","-","-"
"733",15,"Bo Melton",GB,"WR246","11","-","-","5 out of 5 stars","-","-","-"
"734",15,"Charlie Jones",CIN,"WR247","6","-","-","4 out of 5 stars","-","-","-"
"735",15,"Tom Kennedy",DET,"WR248","6","-","-","4 out of 5 stars","-","-","-"
"736",15,"Eli Pancol",IND,"WR249","13","-","-","4 out of 5 stars","-","-","-"
"737",15,"Jason Brownlee",KC,"WR250","5","-","-","2 out of 5 stars","-","-","-"
"738",15,"Quali Conley",FA,"RB223","-","-","-","-","-","-","-"
"739",15,"Shedrick Jackson",LV,"WR251","13","-","-","2 out of 5 stars","-","-","-"
"740",15,"Isaiah Neyor",GB,"WR252","11","-","-","5 out of 5 stars","-","-","-"
"741",15,"Gage Larvadain",CLE,"WR253","11","-","-","3 out of 5 stars","-","-","-"
"742",15,"Gabe Davis",FA,"WR254","-","-","-","-","-","-","-"
"743",15,"Nick Nash",WAS,"WR255","7","-","-","2 out of 5 stars","-","-","-"
"744",15,"Omari Kelly",CHI,"WR256","10","-","-","3 out of 5 stars","-","-","-"
"745",15,"LaJohntay Wester",BAL,"WR257","13","-","-","4 out of 5 stars","-","-","-"
"746",15,"Jalin Hyatt",NYG,"WR258","8","-","-","4 out of 5 stars","-","-","-"
"747",15,"Luke Grimm",LAC,"WR259","7","-","-","2 out of 5 stars","-","-","-"
"748",15,"Andrew Armstrong",KC,"WR260","5","-","-","2 out of 5 stars","-","-","-"
"749",15,"Laquon Treadwell",IND,"WR261","13","-","-","4 out of 5 stars","-","-","-"
"750",15,"Jordan Moore",CIN,"WR262","6","-","-","4 out of 5 stars","-","-","-"
"751",16,"JP Richardson",CHI,"WR263","10","-","-","3 out of 5 stars","-","-","-"
"752",16,"Raylen Sharpe",IND,"WR264","13","-","-","4 out of 5 stars","-","-","-"
"753",16,"Jeff Caldwell",KC,"WR265","5","-","-","2 out of 5 stars","-","-","-"
"754",16,"Tyrell Shavers",BUF,"WR266","7","-","-","4 out of 5 stars","-","+0.7","43% (7/16)"
"755",16,"Brennan Presley",LAR,"WR267","11","-","-","1 out of 5 stars","-","-","-"
"756",16,"Cody White",SEA,"WR268","11","-","-","3 out of 5 stars","-","-","-"
"757",16,"Tru Edwards",LAR,"WR269","11","-","-","1 out of 5 stars","-","-","-"
"758",16,"Donaven McCulley",MIA,"WR270","6","-","-","3 out of 5 stars","-","-","-"
"759",16,"Britain Covey",PHI,"WR271","10","-","-","4 out of 5 stars","-","-","-"
"760",16,"Jackson Meeks",DET,"WR272","6","-","-","4 out of 5 stars","-","-","-"
"761",16,"Jacob De Jesus",KC,"WR273","5","-","-","2 out of 5 stars","-","-","-"
"762",16,"Brycen Tremayne",CAR,"WR274","5","-","-","2 out of 5 stars","-","-","-"
"763",16,"Jamaal Pritchett",NYJ,"WR275","13","-","-","4 out of 5 stars","-","-","-"
"764",16,"Traeshon Holden",DAL,"WR276","14","-","-","2 out of 5 stars","-","-","-"
"765",16,"Tylan Wallace",CLE,"WR277","11","-","-","3 out of 5 stars","-","-","-"
"766",16,"Jaden Bradley",WAS,"WR278","7","-","-","2 out of 5 stars","-","-","-"
"767",16,"Jimmy Holiday",KC,"WR279","5","-","-","2 out of 5 stars","-","-","-"
"768",16,"Mason Kinsey",TEN,"WR280","9","-","-","3 out of 5 stars","-","-","-"
"769",16,"Jeremiah Webb",NE,"WR281","11","-","-","2 out of 5 stars","-","-","-"
"770",16,"Malachi Corley",CLE,"WR282","11","-","-","3 out of 5 stars","-","-0.4","33% (3/9)"
"771",16,"Stephen Gosnell",BUF,"WR283","7","-","-","4 out of 5 stars","-","-","-"
"772",16,"Samori Toure",PHI,"WR284","10","-","-","4 out of 5 stars","-","-","-"
"773",16,"Camden Brown",DAL,"WR285","14","-","-","2 out of 5 stars","-","-","-"
"774",16,"Vinny Anthony II",ATL,"WR286","11","-","-","3 out of 5 stars","-","-","-"
"775",16,"Sahmir Hagans",IND,"WR287","13","-","-","4 out of 5 stars","-","-","-"
"776",16,"Hakeem Butler",DEN,"WR288","10","-","-","2 out of 5 stars","-","-","-"
"777",16,"Dane Key",DEN,"WR289","10","-","-","2 out of 5 stars","-","-","-"
"778",16,"Josh Kelly",HOU,"WR290","8","-","-","3 out of 5 stars","-","-","-"
"779",16,"Le'Meke Brockington",ATL,"WR291","11","-","-","3 out of 5 stars","-","-","-"
"780",16,"Johnny Wilson",PHI,"WR292","10","-","-","4 out of 5 stars","-","-","-"
"781",16,"Danny Gray",PHI,"WR293","10","-","-","4 out of 5 stars","-","-","-"
"782",16,"Sederrick Cunningham",FA,"WR294","-","-","-","-","-","-","-"
"783",16,"E.J. Horton Jr.",IND,"WR295","13","-","-","4 out of 5 stars","-","-","-"
"784",16,"Austin Trammell",JAC,"WR296","7","-","-","4 out of 5 stars","-","-","-"
"785",16,"Nick DeGennaro",NE,"WR297","11","-","-","2 out of 5 stars","-","-","-"
"786",16,"Devonte Ross",LAC,"WR298","7","-","-","2 out of 5 stars","-","-","-"
"787",16,"Eric Rivers Jr.",TB,"WR299","10","-","-","4 out of 5 stars","-","-","-"
"788",16,"Omari Evans",KC,"WR300","5","-","-","2 out of 5 stars","-","-","-"
"789",16,"Mario Williams",LAR,"WR301","11","-","-","1 out of 5 stars","-","-","-"
"790",16,"Noah Thomas",CIN,"WR302","6","-","-","4 out of 5 stars","-","-","-"
"791",16,"Brenden Rice",FA,"WR303","-","-","-","-","-","-","-"
"792",16,"Cameron Dorner",NE,"WR304","11","-","-","2 out of 5 stars","-","-","-"
"793",16,"Kyron Hudson",CHI,"WR305","10","-","-","3 out of 5 stars","-","-","-"
"794",16,"Tejhaun Palmer",NE,"WR306","11","-","-","2 out of 5 stars","-","-","-"
"795",16,"Hank Beatty",TEN,"WR307","9","-","-","3 out of 5 stars","-","-","-"
"796",16,"Cornelius Johnson",BAL,"WR308","13","-","-","4 out of 5 stars","-","-","-"
"797",16,"Sincere Brown",LAC,"WR309","7","-","-","2 out of 5 stars","-","-","-"
"798",16,"E.J. Williams Jr.",LV,"WR310","13","-","-","2 out of 5 stars","-","-","-"
"799",16,"Trent Sherfield Sr.",BUF,"WR311","7","-","-","4 out of 5 stars","-","-","-"
"800",16,"Dennis Houston",TB,"WR312","10","-","-","4 out of 5 stars","-","-","-"
"801",16,"Keelan Marion",ATL,"WR313","11","-","-","3 out of 5 stars","-","-","-"
"802",16,"Luke Floriea",CLE,"WR314","11","-","-","3 out of 5 stars","-","-","-"
"803",16,"Lance McCutcheon",TEN,"WR315","9","-","-","3 out of 5 stars","-","-","-"
"804",16,"AJ Henning",MIA,"WR316","6","-","-","3 out of 5 stars","-","-","-"
"805",16,"Mante Morrow",LAC,"WR317","7","-","-","2 out of 5 stars","-","-","-"
"806",16,"Simi Fehoko",ARI,"WR318","14","-","-","2 out of 5 stars","-","-","-"
"807",16,"Kyle Dixon",NE,"WR319","11","-","-","2 out of 5 stars","-","-","-"
"808",16,"Tim Jones",JAC,"WR320","7","-","-","4 out of 5 stars","-","-","-"
"809",16,"Jordan Hudson",DAL,"WR321","14","-","-","2 out of 5 stars","-","-","-"
"810",16,"Junior Bergen",SF,"WR322","8","-","-","2 out of 5 stars","-","-","-"
"811",16,"Caullin Lacy",NYJ,"WR323","13","-","-","4 out of 5 stars","-","-","-"
"812",16,"Xavier Loyd",KC,"WR324","5","-","-","2 out of 5 stars","-","-","-"
"813",16,"Trey Palmer",NO,"WR325","8","-","-","3 out of 5 stars","-","-","-"
"814",16,"Rashad Rochelle",SEA,"WR326","11","-","-","3 out of 5 stars","-","-","-"
"815",16,"Jonathan Brady",FA,"WR327","-","-","-","-","-","-","-"
"816",16,"Xavier Gipson",NYG,"WR328","8","-","-","4 out of 5 stars","-","-","-"
"817",16,"Jalen Walthall",NYJ,"WR329","13","-","-","4 out of 5 stars","-","-","-"
"818",16,"DT Sheffield",NYJ,"WR330","13","-","-","4 out of 5 stars","-","-","-"
"819",16,"Dean Patterson",TB,"WR331","10","-","-","4 out of 5 stars","-","-","-"
"820",16,"Malik McClain",NYJ,"WR332","13","-","-","4 out of 5 stars","-","-","-"
"821",16,"Xavier Guillory",BAL,"WR333","13","-","-","4 out of 5 stars","-","-","-"
"822",16,"Beaux Collins",FA,"WR334","-","-","-","-","-","-","-"
"823",16,"Malik Turner",SF,"WR335","8","-","-","2 out of 5 stars","-","-","-"
"824",16,"Kole Wilson",CLE,"WR336","11","-","-","3 out of 5 stars","-","-","-"
"825",16,"Wesley Grimes",SF,"WR337","8","-","-","2 out of 5 stars","-","-","-"
"826",16,"Chris Hilton Jr.",WAS,"WR338","7","-","-","2 out of 5 stars","-","-","-"
"827",16,"Dan Chisena",CAR,"WR339","5","-","-","2 out of 5 stars","-","-","-"
"828",16,"Ja'Mori Maclin",BUF,"WR340","7","-","-","4 out of 5 stars","-","-","-"
"829",16,"Kolbe Katsis",DEN,"WR341","10","-","-","2 out of 5 stars","-","-","-"
"830",16,"Cameron Ross",DEN,"WR342","10","-","-","2 out of 5 stars","-","-","-"
"831",16,"Tyren Montgomery",TEN,"WR343","9","-","-","3 out of 5 stars","-","-","-"
"832",16,"Max Tomczak",BUF,"WR344","7","-","-","4 out of 5 stars","-","-","-"
"833",16,"Cortez Braham Jr.",BAL,"WR345","13","-","-","4 out of 5 stars","-","-","-"
"834",16,"Irv Charles",SEA,"WR346","11","-","-","3 out of 5 stars","-","-","-"
"835",16,"Phillip Dorsett II",LV,"WR347","13","-","-","2 out of 5 stars","-","-","-"
"836",16,"Jimmy Kibble",NE,"WR348","11","-","-","2 out of 5 stars","-","-","-"
"837",16,"Harrison Wallace III",ARI,"WR349","14","-","-","2 out of 5 stars","-","-","-"
"838",16,"Octavian Smith Jr.",BAL,"WR350","13","-","-","4 out of 5 stars","-","-","-"
"839",16,"Bryson Green",ARI,"WR351","14","-","-","2 out of 5 stars","-","-","-"
"840",16,"Kobe Prentice",NE,"WR352","11","-","-","2 out of 5 stars","-","-","-"
"841",16,"Courtney Jackson",TEN,"WR353","9","-","-","3 out of 5 stars","-","-","-"
"842",16,"Treyvhon Saunders",HOU,"WR354","8","-","-","3 out of 5 stars","-","-","-"
"843",16,"Dalen Cambre",NYG,"WR355","8","-","-","4 out of 5 stars","-","-","-"
"844",16,"Daniel Sobkowicz",HOU,"WR356","8","-","-","3 out of 5 stars","-","-","-"
"845",16,"Ihmir Smith-Marsette",ARI,"WR357","14","-","-","2 out of 5 stars","-","-","-"
"846",16,"Brock Rechsteiner",NO,"WR358","8","-","-","3 out of 5 stars","-","-","-"
"847",16,"Colton Dowell",SF,"WR359","8","-","-","2 out of 5 stars","-","-","-"
